SAFE Facility,county,state,country,County's Population,Total Population Served,Serves,latitude, longitude
Adventist Health Ukiah Valley,Mendocino County,CA,USA,"87,497","87,497",Mendocino County,39.153314,-123.202818
Adventist Health Howard Memorial,Mendocino County,CA,USA,"87,497","87,497",Mendocino County,39.390158,-123.33892
Reno Exam Team Northern Nevada CARES/SART Program,Alpine County,CA,USA,"1,203","397,797","Alpine, Placer, Plumas, and Sierra Counties",39.477508,-119.763443
Plumas County SART,Plumas County,CA,USA,"18,724","18,724",Plumas County,39.477603,-119.763909
Reno Exam Team,Sierra County,CA,USA,"2,885","397,797","Alpine, Placer, Plumas, Sierra Counties",39.477628,-119.763973
Enloe Medical Center SART,Glenn County,CA,USA,"27,935","253,142","Glenn, and Butte Counties",39.742834,-121.849705
Enloe Medical Center SART,Butte County,CA,USA,"225,207","253,142","Glenn, and Butte Counties",39.74289,-121.849755
Tehama SART,Tehama County,CA,USA,"63,247","63,247",Tehama County,40.16904,-122.253581
Banner Health Clinic,Lassen County,CA,USA,"31,470","31,470",Lassen County,40.421628,-120.64703
Shasta Regional Medical Center SART Team,Shasta County,CA,USA,"178,919","178,919",Shasta County,40.585788,-122.387756
Humboldt County Sexual Assault,Humboldt County,CA,USA,"135,490","135,490",Humboldt County,40.784337,-124.142188
Trinity Hospital,Trinity County,CA,USA,"13,037","13,037",Trinity County,41.041821,-123.664535
Modoc Medical Center ED Canby Family Practice Clinic,Modoc County,CA,USA,"9,017","9,017",Modoc County,41.443489,-120.87142
Siskiyou County SART,Siskiyou County,CA,USA,"43,530","43,530",Siskiyou County,41.719561,-122.645684
Del Norte County SART,Del Norte County,CA,USA,"27,442","27,442",Del Norte County,41.773947,-124.194256
